Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34101160,Kolymské denníky,Jacek Hugo-Bader,"Hugo-Bader, Jacek",Patrik Oriešek,"=""8089845843""","=""9788089845842""",0,4.25,Absynt,Paperback,352,2017,2011,,2018/10/31,,,read,,,,1,0
5360,A Painted House,John Grisham,"Grisham, John",,"=""0385337930""","=""9780385337939""",4,3.77,Bantam,Paperback,384,2004,2001,2018/10/31,2018/10/29,,,read,,,,1,0
36193183,Nájdem si ťa,Joanna Connors,"Connors, Joanna",Milan  Kopecký,"=""8089876617""","=""9788089876617""",0,4.12,Absynt,Paperback,240,2017,2016,,2018/10/29,,,read,,,,1,0
34773258,Černobyľská modlitba,Svetlana Alexievich,"Alexievich, Svetlana",Silvia Šalatová,"=""8089876226""","=""9788089876228""",5,4.40,Absynth,Paperback,320,2017,1997,,2018/10/29,,,read,,,,1,0
41667,"My Side of the Mountain (Mountain, #1)",Jean Craighead George,"George, Jean Craighead",,"=""0142401110""","=""9780142401118""",5,4.10,Puffin Books,Paperback,177,2004,1959,,2018/10/28,,,read,,,,2,0
20468060,Becoming Wild: Living the Primitive Life on a West Coast Island,Nikki Van Schyndel,"Schyndel, Nikki Van",,"=""1927575397""","=""9781927575390""",5,3.82,Caitlin Press Inc.,Paperback,224,2014,2014,,2018/10/26,,,read,,,,1,0
38506841,Přijde Mordor a sežere nás aneb Tajná historie Slovanů,Ziemowit Szczerek,"Szczerek, Ziemowit",Michal Lebduška,"=""8074432505""","=""9788074432507""",5,3.93,Větrné mlýny,Paperback,240,2017,2013,,2018/10/26,,,read,,,,1,0
51550,Hell's Angel: The Life and Times of Sonny Barger and the Hell's Angels Motorcycle Club,Ralph Barger,"Barger, Ralph","Keith Zimmerman, Kent Zimmerman","=""0060937548""","=""9780060937546""",1,3.73,Mariner Books,Paperback,288,2001,1975,,2018/10/26,,,read,,,,1,0
21,A Short History of Nearly Everything,Bill Bryson,"Bryson, Bill",,"=""076790818X""","=""9780767908184""",0,4.22,Crown,Paperback,544,2004,2003,,2018/10/26,to-read,to-read (#3),to-read,,,,0,0
24319974,Doktor Živago,Boris Pasternak,"Pasternak, Boris",Janko Moder,"=""9612314896""","=""9789612314897""",0,4.01,Cankarjeva založba,Hardcover,644,2005,1957,,2018/10/26,,,read,,,,1,0
1833852,A Fraction of the Whole,Steve Toltz,"Toltz, Steve",,"=""0385521723""","=""9780385521727""",0,4.14,Spiegel & Grau,Hardcover,530,2008,2008,,2018/10/26,,,read,,,,1,0
1080286,Pole to Pole,Michael Palin,"Palin, Michael",,"=""0563521988""","=""9780563521983""",0,4.13,BBC,Paperback,298,2004,1992,,2018/10/26,,,read,,,,1,0
221304,Around the World in 80 Days: Companion to the Pbs Series (Best of the Bbc),Michael Palin,"Palin, Michael",Jan Morris,"=""0912333391""","=""9780912333397""",0,4.04,Bay Books,Paperback,262,1995,1990,,2018/10/26,,,read,,,,1,0
7445,The Glass Castle,Jeannette Walls,"Walls, Jeannette",,"=""074324754X""","=""9780743247542""",0,4.32,Scribner,Paperback,288,2006,2005,,2018/10/26,,,read,,,,1,0
18635097,"North of Normal: A Memoir of My Wilderness Childhood, My Unusual Family, and How I Survived Both",Cea Sunrise Person,"Person, Cea Sunrise",,"=""0062289861""","=""9780062289865""",0,4.25,Harper,Hardcover,352,2014,2014,,2018/10/26,,,read,,,,1,0
106931,I Heard the Owl Call My Name,Margaret Craven,"Craven, Margaret",,"=""1550413392""","=""9781550413397""",0,4.05,Fitzhenry & Whiteside Ltd,Paperback,145,2005,1967,,2018/10/26,,,read,,,,1,0
2294349,My Remarkable Uncle,Stephen Leacock,"Leacock, Stephen",Barbara Nimmo,"=""0771099657""","=""9780771099656""",0,3.79,McClelland & Stewart,Mass Market Paperback,248,1989,1942,,2018/10/26,,,read,,,,1,0
972003,Literary Lapses,Stephen Leacock,"Leacock, Stephen",,"=""1406814318""","=""9781406814316""",0,3.86,Echo Library,Paperback,,2006,1910,,2018/10/26,,,read,,,,1,0
249398,Sunshine Sketches of a Little Town,Stephen Leacock,"Leacock, Stephen",,"=""1406814334""","=""9781406814330""",0,3.73,Echo Library,Paperback,114,2006,1912,,2018/10/26,,,read,,,,1,0
13128,"Cross (Alex Cross, #12)",James  Patterson,"Patterson, James",,"=""0316159794""","=""9780316159791""",0,4.05,Little Brown & Co,Paperback,393,2006,2006,,2018/10/26,,,read,,,,1,0
10882,Hell's Angels,Hunter S. Thompson,"Thompson, Hunter S.",Sylvie Durastanti,"=""222109073X""","=""9782221090732""",0,3.98,Robert Laffont,Paperback,295,2000,1966,,2018/10/26,to-read,to-read (#2),to-read,,,,0,0
34565022,Braving the Wilderness,Brené Brown,"Brown, Brené",,"=""0812995848""","=""9780812995848""",0,4.13,Random House,Hardcover,197,2017,2017,,2018/10/26,to-read,to-read (#1),to-read,,,,0,0
39665673,"Finding Ultra: Rejecting Middle Age, Becoming One of the World's Fittest Men, and Discovering Myself",Rich Roll,"Roll, Rich",,"=""0307952207""","=""9780307952202""",0,4.02,Penguin Random House,Paperback,400,2013,2012,,2018/10/26,,,read,,,,1,0
